actor_id,first_name,last_name,last_update
1,PENELOPE,GUINESS,2006-02-15 04:34:33.0
2,NICK,WAHLBERG,2006-02-15 04:34:33.0
3,ED,CHASE,2006-02-15 04:34:33.0
4,JENNIFER,DAVIS,2006-02-15 04:34:33.0
5,JOHNNY,LOLLOBRIGIDA,2006-02-15 04:34:33.0
6,BETTE,NICHOLSON,2006-02-15 04:34:33.0
7,GRACE,MOSTEL,2006-02-15 04:34:33.0
8,MATTHEW,JOHANSSON,2006-02-15 04:34:33.0
9,JOE,SWANK,2006-02-15 04:34:33.0
10,CHRISTIAN,GABLE,2006-02-15 04:34:33.0
11,ZERO,CAGE,2006-02-15 04:34:33.0
12,KARL,BERRY,2006-02-15 04:34:33.0
13,UMA,WOOD,2006-02-15 04:34:33.0
14,VIVIEN,BERGEN,2006-02-15 04:34:33.0
15,CUBA,OLIVIER,2006-02-15 04:34:33.0
16,FRED,COSTNER,2006-02-15 04:34:33.0
17,HELEN,VOIGHT,2006-02-15 04:34:33.0
18,DAN,TORN,2006-02-15 04:34:33.0
19,BOB,FAWCETT,2006-02-15 04:34:33.0
20,LUCILLE,TRACY,2006-02-15 04:34:33.0
21,KIRSTEN,PALTROW,2006-02-15 04:34:33.0
22,ELVIS,MARX,2006-02-15 04:34:33.0
23,SANDRA,KILMER,2006-02-15 04:34:33.0
24,CAMERON,STREEP,2006-02-15 04:34:33.0
25,KEVIN,BLOOM,2006-02-15 04:34:33.0
26,RIP,CRAWFORD,2006-02-15 04:34:33.0
27,JULIA,MCQUEEN,2006-02-15 04:34:33.0
28,WOODY,HOFFMAN,2006-02-15 04:34:33.0
29,ALEC,WAYNE,2006-02-15 04:34:33.0
30,SANDRA,PECK,2006-02-15 04:34:33.0
31,SISSY,SOBIESKI,2006-02-15 04:34:33.0
32,TIM,HACKMAN,2006-02-15 04:34:33.0
33,MILLA,PECK,2006-02-15 04:34:33.0
34,AUDREY,OLIVIER,2006-02-15 04:34:33.0
35,JUDY,DEAN,2006-02-15 04:34:33.0
36,BURT,DUKAKIS,2006-02-15 04:34:33.0
37,VAL,BOLGER,2006-02-15 04:34:33.0
38,TOM,MCKELLEN,2006-02-15 04:34:33.0
39,GOLDIE,BRODY,2006-02-15 04:34:33.0
40,JOHNNY,CAGE,2006-02-15 04:34:33.0
41,JODIE,DEGENERES,2006-02-15 04:34:33.0
42,TOM,MIRANDA,2006-02-15 04:34:33.0
43,KIRK,JOVOVICH,2006-02-15 04:34:33.0
44,NICK,STALLONE,2006-02-15 04:34:33.0
45,REESE,KILMER,2006-02-15 04:34:33.0
46,PARKER,GOLDBERG,2006-02-15 04:34:33.0
47,JULIA,BARRYMORE,2006-02-15 04:34:33.0
48,FRANCES,DAY-LEWIS,2006-02-15 04:34:33.0
49,ANNE,CRONYN,2006-02-15 04:34:33.0
50,NATALIE,HOPKINS,2006-02-15 04:34:33.0
51,GARY,PHOENIX,2006-02-15 04:34:33.0
52,CARMEN,HUNT,2006-02-15 04:34:33.0
53,MENA,TEMPLE,2006-02-15 04:34:33.0
54,PENELOPE,PINKETT,2006-02-15 04:34:33.0
55,FAY,KILMER,2006-02-15 04:34:33.0
56,DAN,HARRIS,2006-02-15 04:34:33.0
57,JUDE,CRUISE,2006-02-15 04:34:33.0
58,CHRISTIAN,AKROYD,2006-02-15 04:34:33.0
59,DUSTIN,TAUTOU,2006-02-15 04:34:33.0
60,HENRY,BERRY,2006-02-15 04:34:33.0
61,CHRISTIAN,NEESON,2006-02-15 04:34:33.0
62,JAYNE,NEESON,2006-02-15 04:34:33.0
63,CAMERON,WRAY,2006-02-15 04:34:33.0
64,RAY,JOHANSSON,2006-02-15 04:34:33.0
65,ANGELA,HUDSON,2006-02-15 04:34:33.0
66,MARY,TANDY,2006-02-15 04:34:33.0
67,JESSICA,BAILEY,2006-02-15 04:34:33.0
68,RIP,WINSLET,2006-02-15 04:34:33.0
69,KENNETH,PALTROW,2006-02-15 04:34:33.0
70,MICHELLE,MCCONAUGHEY,2006-02-15 04:34:33.0
71,ADAM,GRANT,2006-02-15 04:34:33.0
72,SEAN,WILLIAMS,2006-02-15 04:34:33.0
73,GARY,PENN,2006-02-15 04:34:33.0
74,MILLA,KEITEL,2006-02-15 04:34:33.0
75,BURT,POSEY,2006-02-15 04:34:33.0
76,ANGELINA,ASTAIRE,2006-02-15 04:34:33.0
77,CARY,MCCONAUGHEY,2006-02-15 04:34:33.0
78,GROUCHO,SINATRA,2006-02-15 04:34:33.0
79,MAE,HOFFMAN,2006-02-15 04:34:33.0
80,RALPH,CRUZ,2006-02-15 04:34:33.0
81,SCARLETT,DAMON,2006-02-15 04:34:33.0
82,WOODY,JOLIE,2006-02-15 04:34:33.0
83,BEN,WILLIS,2006-02-15 04:34:33.0
84,JAMES,PITT,2006-02-15 04:34:33.0
85,MINNIE,ZELLWEGER,2006-02-15 04:34:33.0
86,GREG,CHAPLIN,2006-02-15 04:34:33.0
87,SPENCER,PECK,2006-02-15 04:34:33.0
88,KENNETH,PESCI,2006-02-15 04:34:33.0
89,CHARLIZE,DENCH,2006-02-15 04:34:33.0
90,SEAN,GUINESS,2006-02-15 04:34:33.0
91,CHRISTOPHER,BERRY,2006-02-15 04:34:33.0
92,KIRSTEN,AKROYD,2006-02-15 04:34:33.0
93,ELLEN,PRESLEY,2006-02-15 04:34:33.0
94,KENNETH,TORN,2006-02-15 04:34:33.0
95,DARYL,WAHLBERG,2006-02-15 04:34:33.0
96,GENE,WILLIS,2006-02-15 04:34:33.0
97,MEG,HAWKE,2006-02-15 04:34:33.0
98,CHRIS,BRIDGES,2006-02-15 04:34:33.0
99,JIM,MOSTEL,2006-02-15 04:34:33.0
100,SPENCER,DEPP,2006-02-15 04:34:33.0
101,SUSAN,DAVIS,2006-02-15 04:34:33.0
102,WALTER,TORN,2006-02-15 04:34:33.0
103,MATTHEW,LEIGH,2006-02-15 04:34:33.0
104,PENELOPE,CRONYN,2006-02-15 04:34:33.0
105,SIDNEY,CROWE,2006-02-15 04:34:33.0
106,GROUCHO,DUNST,2006-02-15 04:34:33.0
107,GINA,DEGENERES,2006-02-15 04:34:33.0
108,WARREN,NOLTE,2006-02-15 04:34:33.0
109,SYLVESTER,DERN,2006-02-15 04:34:33.0
110,SUSAN,DAVIS,2006-02-15 04:34:33.0
111,CAMERON,ZELLWEGER,2006-02-15 04:34:33.0
112,RUSSELL,BACALL,2006-02-15 04:34:33.0
113,MORGAN,HOPKINS,2006-02-15 04:34:33.0
114,MORGAN,MCDORMAND,2006-02-15 04:34:33.0
115,HARRISON,BALE,2006-02-15 04:34:33.0
116,DAN,STREEP,2006-02-15 04:34:33.0
117,RENEE,TRACY,2006-02-15 04:34:33.0
118,CUBA,ALLEN,2006-02-15 04:34:33.0
119,WARREN,JACKMAN,2006-02-15 04:34:33.0
120,PENELOPE,MONROE,2006-02-15 04:34:33.0
121,LIZA,BERGMAN,2006-02-15 04:34:33.0
122,SALMA,NOLTE,2006-02-15 04:34:33.0
123,JULIANNE,DENCH,2006-02-15 04:34:33.0
124,SCARLETT,BENING,2006-02-15 04:34:33.0
125,ALBERT,NOLTE,2006-02-15 04:34:33.0
126,FRANCES,TOMEI,2006-02-15 04:34:33.0
127,KEVIN,GARLAND,2006-02-15 04:34:33.0
128,CATE,MCQUEEN,2006-02-15 04:34:33.0
129,DARYL,CRAWFORD,2006-02-15 04:34:33.0
130,GRETA,KEITEL,2006-02-15 04:34:33.0
131,JANE,JACKMAN,2006-02-15 04:34:33.0
132,ADAM,HOPPER,2006-02-15 04:34:33.0
133,RICHARD,PENN,2006-02-15 04:34:33.0
134,GENE,HOPKINS,2006-02-15 04:34:33.0
135,RITA,REYNOLDS,2006-02-15 04:34:33.0
136,ED,MANSFIELD,2006-02-15 04:34:33.0
137,MORGAN,WILLIAMS,2006-02-15 04:34:33.0
138,LUCILLE,DEE,2006-02-15 04:34:33.0
139,EWAN,GOODING,2006-02-15 04:34:33.0
140,WHOOPI,HURT,2006-02-15 04:34:33.0
141,CATE,HARRIS,2006-02-15 04:34:33.0
142,JADA,RYDER,2006-02-15 04:34:33.0
143,RIVER,DEAN,2006-02-15 04:34:33.0
144,ANGELA,WITHERSPOON,2006-02-15 04:34:33.0
145,KIM,ALLEN,2006-02-15 04:34:33.0
146,ALBERT,JOHANSSON,2006-02-15 04:34:33.0
147,FAY,WINSLET,2006-02-15 04:34:33.0
148,EMILY,DEE,2006-02-15 04:34:33.0
149,RUSSELL,TEMPLE,2006-02-15 04:34:33.0
150,JAYNE,NOLTE,2006-02-15 04:34:33.0
151,GEOFFREY,HESTON,2006-02-15 04:34:33.0
152,BEN,HARRIS,2006-02-15 04:34:33.0
153,MINNIE,KILMER,2006-02-15 04:34:33.0
154,MERYL,GIBSON,2006-02-15 04:34:33.0
155,IAN,TANDY,2006-02-15 04:34:33.0
156,FAY,WOOD,2006-02-15 04:34:33.0
157,GRETA,MALDEN,2006-02-15 04:34:33.0
158,VIVIEN,BASINGER,2006-02-15 04:34:33.0
159,LAURA,BRODY,2006-02-15 04:34:33.0
160,CHRIS,DEPP,2006-02-15 04:34:33.0
161,HARVEY,HOPE,2006-02-15 04:34:33.0
162,OPRAH,KILMER,2006-02-15 04:34:33.0
163,CHRISTOPHER,WEST,2006-02-15 04:34:33.0
164,HUMPHREY,WILLIS,2006-02-15 04:34:33.0
165,AL,GARLAND,2006-02-15 04:34:33.0
166,NICK,DEGENERES,2006-02-15 04:34:33.0
167,LAURENCE,BULLOCK,2006-02-15 04:34:33.0
168,WILL,WILSON,2006-02-15 04:34:33.0
169,KENNETH,HOFFMAN,2006-02-15 04:34:33.0
170,MENA,HOPPER,2006-02-15 04:34:33.0
171,OLYMPIA,PFEIFFER,2006-02-15 04:34:33.0
172,GROUCHO,WILLIAMS,2006-02-15 04:34:33.0
173,ALAN,DREYFUSS,2006-02-15 04:34:33.0
174,MICHAEL,BENING,2006-02-15 04:34:33.0
175,WILLIAM,HACKMAN,2006-02-15 04:34:33.0
176,JON,CHASE,2006-02-15 04:34:33.0
177,GENE,MCKELLEN,2006-02-15 04:34:33.0
178,LISA,MONROE,2006-02-15 04:34:33.0
179,ED,GUINESS,2006-02-15 04:34:33.0
180,JEFF,SILVERSTONE,2006-02-15 04:34:33.0
181,MATTHEW,CARREY,2006-02-15 04:34:33.0
182,DEBBIE,AKROYD,2006-02-15 04:34:33.0
183,RUSSELL,CLOSE,2006-02-15 04:34:33.0
184,HUMPHREY,GARLAND,2006-02-15 04:34:33.0
185,MICHAEL,BOLGER,2006-02-15 04:34:33.0
186,JULIA,ZELLWEGER,2006-02-15 04:34:33.0
187,RENEE,BALL,2006-02-15 04:34:33.0
188,ROCK,DUKAKIS,2006-02-15 04:34:33.0
189,CUBA,BIRCH,2006-02-15 04:34:33.0
190,AUDREY,BAILEY,2006-02-15 04:34:33.0
191,GREGORY,GOODING,2006-02-15 04:34:33.0
192,JOHN,SUVARI,2006-02-15 04:34:33.0
193,BURT,TEMPLE,2006-02-15 04:34:33.0
194,MERYL,ALLEN,2006-02-15 04:34:33.0
195,JAYNE,SILVERSTONE,2006-02-15 04:34:33.0
196,BELA,WALKEN,2006-02-15 04:34:33.0
197,REESE,WEST,2006-02-15 04:34:33.0
198,MARY,KEITEL,2006-02-15 04:34:33.0
199,JULIA,FAWCETT,2006-02-15 04:34:33.0
200,THORA,TEMPLE,2006-02-15 04:34:33.0
